1 -649 -778 -217 -346 1 1 1 1 4 5 
1 -1288 -1545 -429 -686 1 1 1 1 5 1 
1 -1919 -2302 -640 -1023 1 1 1 1 2 0 
0 -1679 -2188 -848 -1357 1 1 1 1 0 5 
0 -1458 -2093 -1058 -1693 1 1 1 1 1 0 
0 -2088 -2849 -1269 -2030 1 1 1 1 4 0 
0 -2726 -3615 -1481 -2370 1 1 1 1 5 1 
0 -868 -1889 -842 -1863 1 1 1 1 1 0 
1 157 -997 -1064 -2218 0 1 1 1 2 0 
1 -506 -1792 -865 -2151 1 1 1 1 1 0 
0 -1167 -2585 -667 -2085 1 1 1 1 4 5 
0 -66 -1617 376 -1175 1 1 0 1 0 2 
0 149 -1536 154 -1531 0 1 0 1 2 4 
0 144 -1459 -286 -1889 0 1 1 1 2 5 
1 -744 -2269 -284 -1809 1 1 1 1 3 3 
1 -1410 -3068 -507 -2165 1 1 1 1 2 3 
0 196 -1173 185 -1184 0 1 0 1 2 4 
0 234 -1055 -242 -1531 0 1 1 1 2 3 
0 248 -963 -674 -1885 0 1 1 1 2 1 
1 -627 -1759 -663 -1795 1 1 1 1 1 1 
1 1111 68 683 -360 0 0 0 1 4 2 
0 1120 168 244 -708 0 0 0 1 2 5 
0 242 -621 -195 -1058 0 1 1 1 1 1 
0 -643 -1418 -206 -981 1 1 1 1 1 1 
1 -1313 -2221 5 -903 1 1 0 1 5 0 
0 201 -397 223 -375 0 1 0 1 5 0 
0 190 -318 -226 -734 0 1 1 1 0 4 
1 185 -233 -675 -1093 0 1 1 1 0 4 
0 -711 -1042 -683 -1014 1 1 1 1 0 3 
0 -1386 -1853 -472 -939 1 1 1 1 2 2 
0 180 10 194 24 0 0 0 0 2 5 
0 174 88 -255 -341 0 0 1 1 0 0 
0 166 163 -705 -708 0 0 1 1 3 4 
0 -523 -664 -490 -631 1 1 1 1 1 4 
1 -1221 -1587 -275 -641 1 1 1 1 5 4 
1 389 236 406 253 0 0 0 0 4 0 
1 404 248 -42 -198 0 0 1 1 1 0 
0 431 277 -490 -644 0 0 1 1 5 3 
0 -478 -629 -487 -638 1 1 1 1 0 4 
1 -1171 -1545 -262 -636 1 1 1 1 4 5 
0 443 292 447 296 0 0 0 0 0 4 
0 442 290 -8 -160 0 0 1 1 3 4 
0 442 375 -466 -533 0 0 1 1 1 5 
1 -487 -558 -463 -534 1 1 1 1 4 3 
1 -1190 -1489 -240 -539 1 1 1 1 2 2 
0 423 350 443 370 0 0 0 0 0 4 
1 425 352 -22 -95 0 0 1 1 3 0 
0 430 357 -485 -558 0 0 1 1 2 0 
0 -511 -583 -496 -568 1 1 1 1 2 3 
1 -1243 -1551 -279 -587 1 1 1 1 4 5 
1 378 295 419 336 0 0 0 0 1 3 
0 376 289 -47 -134 0 0 1 1 5 3 
1 400 310 -516 -606 0 0 1 1 0 5 
0 -535 -624 -515 -604 1 1 1 1 5 5 
0 -1240 -1558 -279 -597 1 1 1 1 1 4 
1 492 492 454 454 0 0 0 0 2 5 
0 494 498 -14 -10 0 0 1 1 4 0 
1 491 500 -484 -475 0 0 1 1 4 0 
0 -453 -438 -468 -453 1 1 1 1 2 1 
0 -1168 -1385 -225 -442 1 1 1 1 3 4 
1 1173 1335 249 411 0 0 0 0 3 0 
0 1159 1322 -231 -68 0 0 1 1 0 4 
1 182 352 -247 -77 0 0 1 1 4 1 
